run_id,time_s,relative_to_t1_s,x_m,y_m,speed_mps,source_file,source_line
202607201611,1784535183.5318,-5.627671957015991,-418.6793212890625,-26.86304664611816,9.113243024140191,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,609
202607201611,1784535183.635621,-5.523850917816162,-417.7915649414062,-26.8509464263916,8.652565786504434,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,610
202607201611,1784535183.739219,-5.420253038406372,-416.9499206542969,-26.84560012817383,8.1899919712171,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,611
202607201611,1784535183.844465,-5.315006971359253,-416.1506042480469,-26.84630012512207,7.8199617557731536,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,612
202607201611,1784535183.948278,-5.211194038391113,-415.3785400390625,-26.85224533081055,7.628264931100838,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,613
202607201611,1784535184.051234,-5.108237981796265,-414.6159973144531,-26.86324882507324,7.612529020295714,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,614
202607201611,1784535184.173288,-4.9861838817596436,-413.8441772460938,-26.87898635864258,7.810153456636888,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,615
202607201611,1784535184.277376,-4.8820960521698,-413.0370483398438,-26.89934539794922,8.288540406904248,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,616
202607201611,1784535184.389353,-4.770118951797485,-412.1712341308594,-26.92416381835938,8.813561610787096,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,617
202607201611,1784535184.494463,-4.665009021759033,-411.2846069335938,-26.95114898681641,8.783276073555054,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,618
202607201611,1784535184.606658,-4.55281400680542,-410.3373718261719,-26.98040390014648,9.910562789996895,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,619
202607201611,1784535184.708691,-4.4507811069488525,-409.302734375,-27.01099586486816,10.678031537005099,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,620
202607201611,1784535184.815236,-4.344235897064209,-408.1994323730469,-27.04051780700684,11.315943264018427,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,621
202607201611,1784535184.917696,-4.241775989532471,-407.0360107421875,-27.06672096252441,11.896420208193474,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,622
202607201611,1784535185.019037,-4.140434980392456,-405.8158569335938,-27.08727264404297,12.453470307503489,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,623
202607201611,1784535185.135462,-4.024009943008423,-404.5408020019531,-27.10045623779297,12.991226621053482,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,624
202607201611,1784535185.242464,-3.9170079231262207,-403.2145080566406,-27.10521697998047,13.47458264336172,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,625
202607201611,1784535185.344676,-3.814795970916748,-401.8453674316406,-27.10129547119141,13.85182814298001,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,626
202607201611,1784535185.471038,-3.688433885574341,-400.4448852539062,-27.09035110473633,14.12030218160835,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,627
202607201611,1784535185.575736,-3.583735942840576,-399.0225219726562,-27.07438659667969,14.297261812673652,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,628
202607201611,1784535185.680213,-3.4792590141296387,-397.5867919921875,-27.05584907531738,14.403961046847671,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,629
202607201611,1784535185.786769,-3.3727030754089355,-396.1427612304688,-27.03807258605957,14.469656328257138,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,630
202607201611,1784535185.895722,-3.2637500762939453,-394.6936340332031,-27.02387809753418,14.507847373195663,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,631
202607201611,1784535186.00313,-3.156342029571533,-393.2415161132812,-27.01547622680664,14.534383604556375,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,632
202607201611,1784535186.111481,-3.0479910373687744,-391.7870178222656,-27.0144157409668,14.553849425678969,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,633
202607201611,1784535186.217713,-2.941758871078491,-390.3313598632812,-27.02140235900879,14.561050406972134,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,634
202607201611,1784535186.322313,-2.8371589183807373,-388.8755798339844,-27.03621482849121,14.556158714696595,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,635
202607201611,1784535186.476594,-2.682878017425537,-387.4263610839844,-27.05645370483398,14.404638012424586,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,636
202607201611,1784535186.583553,-2.5759189128875732,-386.0029907226562,-27.07905006408691,14.086475576660439,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,637
202607201611,1784535186.702165,-2.4573071002960205,-384.6105346679688,-27.10123252868652,13.822393671852765,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,638
202607201611,1784535186.808156,-2.351315975189209,-383.2348022460938,-27.11992835998535,13.721496556199583,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,639
202607201611,1784535186.913304,-2.2461678981781006,-381.8628540039062,-27.13350296020508,13.728006206480345,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,640
202607201611,1784535187.032511,-2.1269609928131104,-380.4856567382812,-27.13988494873047,13.821145981413997,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,641
202607201611,1784535187.142797,-2.0166749954223633,-379.0936889648438,-27.13764572143555,14.019917586914392,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,642
202607201611,1784535187.249123,-1.910348892211914,-377.6748046875,-27.12591934204102,14.341987124021959,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,643
202607201611,1784535187.392898,-1.7665739059448242,-376.2233581542969,-27.10447692871094,14.576745370434582,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,644
202607201611,1784535187.527965,-1.6315069198608398,-374.7640075683594,-27.07439804077148,14.75346542398628,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,645
202607201611,1784535187.636322,-1.5231499671936035,-373.2585754394531,-27.03644752502441,15.292760912867571,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,646
202607201611,1784535187.746991,-1.4124810695648193,-371.7029113769531,-26.99237251281738,15.77288312127312,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,647
202607201611,1784535187.861985,-1.2974870204925537,-370.1033935546875,-26.94444847106934,16.165930927136948,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,648
202607201611,1784535187.897975,-1.2614970207214355,-368.4715881347656,-26.89221572875977,16.45204833183332,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,649
202607201611,1784535188.026695,-1.1327769756317139,-366.8135986328125,-26.83885192871094,16.702516455216426,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,650
202607201611,1784535188.135359,-1.0241129398345947,-365.131591796875,-26.78725433349609,16.926166976396527,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,651
202607201611,1784535188.242948,-0.9165239334106445,-363.4295349121094,-26.73913955688477,17.102347042781382,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,652
202607201611,1784535188.353485,-0.8059868812561035,-361.7135314941406,-26.69659805297852,17.202375659218536,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,653
202607201611,1784535188.467741,-0.6917309761047363,-359.9965209960938,-26.6618766784668,17.109231759892193,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,654
202607201611,1784535188.579864,-0.5796079635620117,-358.2980041503906,-26.63627624511719,16.86010813030286,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,655
202607201611,1784535188.702696,-0.4567759037017822,-356.6282043457031,-26.6198673248291,16.557393365875207,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,656
202607201611,1784535188.823252,-0.33622002601623535,-354.9901123046875,-26.61183738708496,16.239660226479266,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,657
202607201611,1784535188.931988,-0.22748398780822754,-353.3796691894531,-26.61071395874023,16.02036468335029,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,658
