control_seq,control_time,planning_seq_used,planning_pub_time,planning_lidar_timestamp,planning_data_age_at_control_ms,planning_reuse_count,throttle,brake,steering
10721,1788414553.588971615,655,1788414553.562848330,1788414553332197950,256.773710,10,24.134718998,0.000000000,-5.313685368
10722,1788414553.599454880,655,1788414553.562848330,1788414553332197950,267.256975,10,24.140893020,0.000000000,-5.312211766
10723,1788414553.609637260,655,1788414553.562848330,1788414553332197950,277.439356,10,24.727685718,0.000000000,-5.311774682
10724,1788414553.621659279,655,1788414553.562848330,1788414553332197950,289.461374,10,24.735608036,0.000000000,-5.311889035
10725,1788414553.629613876,655,1788414553.562848330,1788414553332197950,297.415972,10,25.305081441,0.000000000,-5.312208005
10726,1788414553.641189098,655,1788414553.562848330,1788414553332197950,308.991194,10,24.829492011,0.000000000,-5.311977299
10727,1788414553.649254799,655,1788414553.562848330,1788414553332197950,317.056894,10,22.517719938,0.000000000,-5.309514256
10728,1788414553.661241531,655,1788414553.562848330,1788414553332197950,329.043627,10,22.518954760,0.000000000,-5.304282691
10729,1788414553.669383526,656,1788414553.666156530,1788414553431773371,237.610102,11,23.097064759,0.000000000,-5.298601708
10730,1788414553.679378748,656,1788414553.666156530,1788414553431773371,247.605324,11,23.100050079,0.000000000,-5.294853184
10731,1788414553.689287901,656,1788414553.666156530,1788414553431773371,257.514477,11,23.684556171,0.000000000,-5.293218111
10732,1788414553.699419737,656,1788414553.666156530,1788414553431773371,267.646313,11,23.689291987,0.000000000,-5.292897737
10733,1788414553.709059477,656,1788414553.666156530,1788414553431773371,277.286053,11,24.275548577,0.000000000,-5.293216920
10734,1788414553.719126463,656,1788414553.666156530,1788414553431773371,287.353039,11,24.282034891,0.000000000,-5.293725686
10735,1788414553.729107857,656,1788414553.666156530,1788414553431773371,297.334433,11,24.870041977,0.000000000,-5.294184686
10736,1788414553.739401579,656,1788414553.666156530,1788414553431773371,307.628155,11,24.213862794,0.000000000,-5.293765738
10737,1788414553.749549866,656,1788414553.666156530,1788414553431773371,317.776442,11,21.889234692,0.000000000,-5.292396662
10738,1788414553.759121180,656,1788414553.666156530,1788414553431773371,327.347755,11,21.888523653,0.000000000,-5.291823185
10739,1788414553.769116402,656,1788414553.666156530,1788414553431773371,337.342978,11,22.469754929,0.000000000,-5.292527706
10740,1788414553.779241562,657,1788414553.771972179,1788414553531113018,248.128653,11,22.466530020,0.000000000,-5.293824639
10741,1788414553.789148569,657,1788414553.771972179,1788414553531113018,258.035660,11,23.049709823,0.000000000,-5.295502288
10742,1788414553.798982143,657,1788414553.771972179,1788414553531113018,267.869234,11,23.052502827,0.000000000,-5.297142813
10743,1788414553.809036732,657,1788414553.771972179,1788414553531113018,277.923822,11,23.637434662,0.000000000,-5.298347853
10744,1788414553.819081306,657,1788414553.771972179,1788414553531113018,287.968397,11,23.641979698,0.000000000,-5.299059877
10745,1788414553.829152822,657,1788414553.771972179,1788414553531113018,298.039913,11,24.228663566,0.000000000,-5.299380627
10746,1788414553.839405298,657,1788414553.771972179,1788414553531113018,308.292389,11,23.538669637,0.000000000,-5.298675784
10747,1788414553.849129677,657,1788414553.771972179,1788414553531113018,318.016768,11,21.198609204,0.000000000,-5.297127171
10748,1788414553.859144449,657,1788414553.771972179,1788414553531113018,328.031540,11,21.195822697,0.000000000,-5.296771395
10749,1788414553.869118214,657,1788414553.771972179,1788414553531113018,338.005304,11,21.774569102,0.000000000,-5.297978575
10750,1788414553.879351854,657,1788414553.771972179,1788414553531113018,348.238945,11,21.773533094,0.000000000,-5.299539767
10751,1788414553.889398813,658,1788414553.882546186,1788414553631233321,258.165598,9,22.361671800,0.000000000,-5.300870372
10752,1788414553.899089813,658,1788414553.882546186,1788414553631233321,267.856598,9,22.362386290,0.000000000,-5.301800161
10753,1788414553.909413815,658,1788414553.882546186,1788414553631233321,278.180599,9,22.944642969,0.000000000,-5.302340774
10754,1788414553.919266224,658,1788414553.882546186,1788414553631233321,288.033009,9,22.947107958,0.000000000,-5.302578011
10755,1788414553.929282904,658,1788414553.882546186,1788414553631233321,298.049688,9,23.531115135,0.000000000,-5.302625883
10756,1788414553.939473152,658,1788414553.882546186,1788414553631233321,308.239937,9,22.908853974,0.000000000,-5.301883345
10757,1788414553.949357271,658,1788414553.882546186,1788414553631233321,318.124056,9,0.000000000,14.500000000,-5.298751428
10758,1788414553.959349394,658,1788414553.882546186,1788414553631233321,328.116179,9,0.000000000,14.500000000,-5.293012724
10759,1788414553.973197460,658,1788414553.882546186,1788414553631233321,341.964245,9,21.124096604,0.000000000,-5.286788283
10760,1788414553.979290009,659,1788414553.972682476,1788414553731710473,247.579575,11,21.126987164,0.000000000,-5.282024661
10761,1788414553.989244938,659,1788414553.972682476,1788414553731710473,257.534504,11,21.705060116,0.000000000,-5.279247928
10762,1788414553.999216557,659,1788414553.972682476,1788414553731710473,267.506123,11,21.703855927,0.000000000,-5.278098578
10763,1788414554.009256601,659,1788414553.972682476,1788414553731710473,277.546167,11,22.283677963,0.000000000,-5.277933500
10764,1788414554.019122839,659,1788414553.972682476,1788414553731710473,287.412405,11,22.284222858,0.000000000,-5.278228107
10765,1788414554.029181004,659,1788414553.972682476,1788414553731710473,297.470570,11,22.865793977,0.000000000,-5.278642297
