record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,total_time_ms,task_index,task_name,task_time_ms
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541235107238,1783598541.2351074,/apollo/control,apollo.control.ControlCommand,1783598541.2348132,6678,6678,control,1783598540818402802,0,0,1.2678559999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541242691495,1783598541.2426915,/apollo/control,apollo.control.ControlCommand,1783598541.2424536,6679,6679,control,1783598540818402802,0,0,0.9275000000000001,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541255243560,1783598541.2552435,/apollo/control,apollo.control.ControlCommand,1783598541.254788,6680,6680,control,1783598540818402802,0,0,1.24712,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541262599014,1783598541.262599,/apollo/control,apollo.control.ControlCommand,1783598541.2623954,6681,6681,control,1783598540818402802,0,0,0.8755949999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541274576959,1783598541.274577,/apollo/control,apollo.control.ControlCommand,1783598541.2743316,6682,6682,control,1783598540818402802,0,0,0.804298,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541284579616,1783598541.2845795,/apollo/control,apollo.control.ControlCommand,1783598541.284292,6683,6683,control,1783598540818402802,0,0,0.7646499999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541294906628,1783598541.2949066,/apollo/control,apollo.control.ControlCommand,1783598541.2945595,6684,6684,control,1783598540818402802,0,0,1.037357,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541304711298,1783598541.3047113,/apollo/control,apollo.control.ControlCommand,1783598541.3044014,6685,6685,control,1783598540818402802,0,0,0.881675,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541314763202,1783598541.3147633,/apollo/control,apollo.control.ControlCommand,1783598541.3145134,6686,6686,control,1783598540818402802,0,0,0.9707640000000001,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541325420939,1783598541.325421,/apollo/control,apollo.control.ControlCommand,1783598541.3251681,6687,6687,control,1783598540918726059,0,0,1.606772,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541335171464,1783598541.3351717,/apollo/control,apollo.control.ControlCommand,1783598541.3348882,6688,6688,control,1783598540918726059,0,0,1.335793,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541342432549,1783598541.3424325,/apollo/control,apollo.control.ControlCommand,1783598541.342253,6689,6689,control,1783598540918726059,0,0,0.742313,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541355653358,1783598541.3556533,/apollo/control,apollo.control.ControlCommand,1783598541.3551843,6690,6690,control,1783598540918726059,0,0,1.6208209999999998,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541363717878,1783598541.3637178,/apollo/control,apollo.control.ControlCommand,1783598541.3631184,6691,6691,control,1783598540918726059,0,0,1.5270920000000001,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541373231663,1783598541.3732316,/apollo/control,apollo.control.ControlCommand,1783598541.3728716,6692,6692,control,1783598540918726059,0,0,1.297905,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541383317297,1783598541.3833172,/apollo/control,apollo.control.ControlCommand,1783598541.3830106,6693,6693,control,1783598540918726059,0,0,1.425363,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541393276240,1783598541.3932762,/apollo/control,apollo.control.ControlCommand,1783598541.3928883,6694,6694,control,1783598540918726059,0,0,1.3304809999999998,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541403571156,1783598541.4035711,/apollo/control,apollo.control.ControlCommand,1783598541.4032166,6695,6695,control,1783598541018617000,0,0,1.666901,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541413141199,1783598541.4131413,/apollo/control,apollo.control.ControlCommand,1783598541.412828,6696,6696,control,1783598541018617000,0,0,1.312401,-1,,
