control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
7648,1783598550.9342427,1783598550.9340641,344,1783598550.9125414,1783598550.91328,344,20.96271514892578,136,NORMAL,6,2
7649,1783598550.9442368,1783598550.944066,344,1783598550.9125414,1783598550.91328,344,30.956745147705078,136,NORMAL,6,3
7650,1783598550.9547703,1783598550.954477,344,1783598550.9125414,1783598550.91328,344,41.49031639099121,136,NORMAL,6,4
7651,1783598550.962593,1783598550.962281,344,1783598550.9125414,1783598550.91328,344,49.31306838989258,136,NORMAL,6,5
7652,1783598550.9744499,1783598550.9741707,344,1783598550.9125414,1783598550.91328,344,61.16986274719238,136,NORMAL,6,6
7653,1783598550.9855027,1783598550.9852,345,1783598550.9783156,1783598550.9790106,345,6.492137908935547,136,NORMAL,9,1
7654,1783598550.994949,1783598550.9946177,345,1783598550.9783156,1783598550.9790106,345,15.938520431518555,136,NORMAL,9,2
7655,1783598551.0021586,1783598551.0019648,345,1783598550.9783156,1783598550.9790106,345,23.148059844970703,136,NORMAL,9,3
7656,1783598551.0142345,1783598551.0140493,345,1783598550.9783156,1783598550.9790106,345,35.223960876464844,136,NORMAL,9,4
7657,1783598551.0242884,1783598551.024082,345,1783598550.9783156,1783598550.9790106,345,45.27783393859863,136,NORMAL,9,5
7658,1783598551.040066,1783598551.0348816,345,1783598550.9783156,1783598550.9790106,345,61.05542182922363,136,NORMAL,9,6
7659,1783598551.0426514,1783598551.042402,345,1783598550.9783156,1783598550.9790106,345,63.64083290100098,136,NORMAL,9,7
7660,1783598551.061785,1783598551.0615282,345,1783598550.9783156,1783598550.9790106,345,82.77440071105957,136,NORMAL,9,8
7661,1783598551.0641196,1783598551.0638878,345,1783598550.9783156,1783598550.9790106,345,85.10899543762207,136,NORMAL,9,9
7662,1783598551.073897,1783598551.0736425,346,1783598551.0666234,1783598551.0674155,346,6.481409072875977,136,NORMAL,7,1
