window_id,window_start_s,window_end_s,timestamp_s,interval_start_s,interval_end_s,cpu,prev_tid,prev_comm,prev_prio,prev_state,next_tid,next_comm,next_prio,running_interval_ms
runnable_1646959,968509.383000000,968509.413500000,968509.388518000,968509.388518000,968509.388527000,3,1646159,dds.udp.27447,120,S,1644780,dreamview_plus,120,0.009000
runnable_1646959,968509.383000000,968509.413500000,968509.388527000,968509.388527000,968509.388577000,3,1644780,dreamview_plus,120,S,0,swapper/3,120,0.050000
runnable_1646959,968509.383000000,968509.413500000,968509.388530000,968509.388530000,968509.388538000,4,0,swapper/4,120,R,1645745,mainboard,120,0.008000
runnable_1646959,968509.383000000,968509.413500000,968509.388530000,968509.388530000,968509.388535000,6,0,swapper/6,120,R,1645526,mainboard,120,0.005000
runnable_1646959,968509.383000000,968509.413500000,968509.388532000,968509.388532000,968509.388539000,11,0,swapper/11,120,R,1648121,cyber_recorder,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388535000,968509.388535000,968509.388612000,6,1645526,mainboard,120,S,0,swapper/6,120,0.077000
runnable_1646959,968509.383000000,968509.413500000,968509.388538000,968509.388538000,968509.388544000,4,1645745,mainboard,120,S,1645541,mainboard,120,0.006000
runnable_1646959,968509.383000000,968509.413500000,968509.388538000,968509.388538000,968509.388550000,9,0,swapper/9,120,R,1646932,mainboard,120,0.012000
runnable_1646959,968509.383000000,968509.413500000,968509.388539000,968509.388539000,968509.388548000,10,0,swapper/10,120,R,1648107,cyber_recorder,120,0.009000
runnable_1646959,968509.383000000,968509.413500000,968509.388539000,968509.388539000,968509.388545000,11,1648121,cyber_recorder,120,S,0,swapper/11,120,0.006000
runnable_1646959,968509.383000000,968509.413500000,968509.388541000,968509.388541000,968509.388546000,8,0,swapper/8,120,R,1645477,mainboard,120,0.005000
runnable_1646959,968509.383000000,968509.413500000,968509.388544000,968509.388544000,968509.388613000,4,1645541,mainboard,120,S,0,swapper/4,120,0.069000
runnable_1646959,968509.383000000,968509.413500000,968509.388545000,968509.388545000,968509.388550000,11,0,swapper/11,120,R,1645711,mainboard,120,0.005000
runnable_1646959,968509.383000000,968509.413500000,968509.388546000,968509.388546000,968509.388654000,8,1645477,mainboard,120,S,0,swapper/8,120,0.108000
runnable_1646959,968509.383000000,968509.413500000,968509.388548000,968509.388548000,968509.388573000,10,1648107,cyber_recorder,120,S,0,swapper/10,120,0.025000
runnable_1646959,968509.383000000,968509.413500000,968509.388550000,968509.388550000,968509.388661000,9,1646932,mainboard,120,S,0,swapper/9,120,0.111000
runnable_1646959,968509.383000000,968509.413500000,968509.388550000,968509.388550000,968509.388644000,11,1645711,mainboard,120,S,0,swapper/11,120,0.094000
runnable_1646959,968509.383000000,968509.413500000,968509.388573000,968509.388573000,968509.388581000,10,0,swapper/10,120,R,1644538,mainboard,120,0.008000
runnable_1646959,968509.383000000,968509.413500000,968509.388577000,968509.388577000,968509.388605000,3,0,swapper/3,120,R,1644778,dds.udp.27417,120,0.028000
runnable_1646959,968509.383000000,968509.413500000,968509.388581000,968509.388581000,968509.388653000,10,1644538,mainboard,120,S,0,swapper/10,120,0.072000
runnable_1646959,968509.383000000,968509.413500000,968509.388598000,968509.388598000,968509.388608000,5,0,swapper/5,120,R,1645631,mainboard,120,0.010000
runnable_1646959,968509.383000000,968509.413500000,968509.388605000,968509.388605000,968509.388661000,3,1644778,dds.udp.27417,120,S,1646159,dds.udp.27447,120,0.056000
runnable_1646959,968509.383000000,968509.413500000,968509.388608000,968509.388608000,968509.388647000,5,1645631,mainboard,120,S,0,swapper/5,120,0.039000
runnable_1646959,968509.383000000,968509.413500000,968509.388612000,968509.388612000,968509.388621000,6,0,swapper/6,120,R,1646962,perf_trace_io,130,0.009000
runnable_1646959,968509.383000000,968509.413500000,968509.388613000,968509.388613000,968509.388621000,4,0,swapper/4,120,R,1645526,mainboard,120,0.008000
runnable_1646959,968509.383000000,968509.413500000,968509.388621000,968509.388621000,968509.388646000,4,1645526,mainboard,120,S,0,swapper/4,120,0.025000
runnable_1646959,968509.383000000,968509.413500000,968509.388621000,968509.388621000,968509.388729000,6,1646962,perf_trace_io,130,S,0,swapper/6,120,0.108000
runnable_1646959,968509.383000000,968509.413500000,968509.388644000,968509.388644000,968509.388651000,11,0,swapper/11,120,R,1648121,cyber_recorder,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388646000,968509.388646000,968509.388653000,4,0,swapper/4,120,R,1645745,mainboard,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388647000,968509.388647000,968509.388655000,5,0,swapper/5,120,R,1645541,mainboard,120,0.008000
runnable_1646959,968509.383000000,968509.413500000,968509.388651000,968509.388651000,968509.388843000,0,12,ksoftirqd/0,120,S,1645550,mainboard,120,0.192000
runnable_1646959,968509.383000000,968509.413500000,968509.388651000,968509.388651000,968509.388658000,11,1648121,cyber_recorder,120,S,0,swapper/11,120,0.007000
