source_frame,lidar_timestamp,perception_seq,perception_pub_time,output_interval_ms,perception_data_age_ms,obstacle_ids,target_id,target_x,target_y,target_vx,target_vy,tracking_time
489,1788414576231705861,1157,1788414576.452532768,105.370045,220.826864,[],,,,,,
490,1788414576332229576,1158,1788414576.554734230,102.201462,222.504616,[],,,,,,
491,1788414576431526820,1159,1788414576.647714853,92.980623,216.187954,[],,,,,,
492,1788414576531475288,1160,1788414576.753901482,106.186628,222.426176,[],,,,,,
493,1788414576632174970,1161,1788414576.858022928,104.121447,225.848198,[],,,,,,
494,1788414576731290071,1162,1788414576.948942900,90.919971,217.652798,[],,,,,,
495,1788414576831171776,1163,1788414577.052402496,103.459597,221.230745,[],,,,,,
496,1788414576931360281,1164,1788414577.147609234,95.206738,216.248989,[],,,,,,
497,1788414577031806829,1165,1788414577.248729229,101.119995,216.922522,[],,,,,,
498,1788414577132202747,1166,1788414577.344690323,95.961094,212.487459,[],,,,,,
499,1788414577230972432,1167,1788414577.448575020,103.884697,217.602491,[],,,,,,
500,1788414577331835424,1168,1788414577.547894716,99.319696,216.059208,[],,,,,,
501,1788414577431670663,1169,1788414577.659383774,111.489058,227.713108,[],,,,,,
502,1788414577531775823,1170,1788414577.748937845,89.554071,217.162132,[],,,,,,
503,1788414577631785456,1171,1788414577.846832037,97.894192,215.046644,[],,,,,,
504,1788414577731562324,1172,1788414577.945545435,98.713398,213.983297,[],,,,,,
505,1788414577831955602,1173,1788414578.047786713,102.241278,215.831041,[],,,,,,
