timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
518004.338269,1,sched_switch,937,sugov:0,D,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.338269:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=D ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.338389,1,sched_switch,29037,mainboard,R,28955,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.338389:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=28955 next_prio=120
518004.338432,1,sched_switch,28955,mainboard,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 28955 [001] 518004.338432:       sched:sched_switch: prev_comm=mainboard prev_pid=28955 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.340232,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.340232:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.340257,1,sched_switch,937,sugov:0,D,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.340257:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=D ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.34039,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.340390:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.340397,1,sched_switch,937,sugov:0,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.340397:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.342235,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.342235:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.342259,1,sched_switch,937,sugov:0,D,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.342259:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=D ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.342378,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.342378:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.342386,1,sched_switch,937,sugov:0,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.342386:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.34284,1,sched_switch,29037,mainboard,R,28991,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.342840:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=28991 next_prio=120
518004.342864,1,sched_switch,28991,mainboard,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 28991 [001] 518004.342864:       sched:sched_switch: prev_comm=mainboard prev_pid=28991 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.344439,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.344439:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.344474,1,sched_switch,937,sugov:0,D,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.344474:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=D ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.344583,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.344583:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.344591,1,sched_switch,937,sugov:0,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.344591:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.346394,1,sched_switch,29037,mainboard,S,0,swapper/1,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.346394:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
518004.346701,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.346701:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=001
518004.34671,1,sched_switch,0,swapper/1,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [001] 518004.346710:       sched:sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.346792,1,sched_waking,,,,27999,mainboard,29037,29037,,,wake_adjacent_to_direct_competitor_run_window,       mainboard 29037 [001] 518004.346792:       sched:sched_waking: comm=mainboard pid=27999 prio=120 target_cpu=001
518004.3468,1,sched_switch,29037,mainboard,R,27999,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.346800:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=27999 next_prio=120
518004.346811,1,sched_switch,27999,mainboard,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 27999 [001] 518004.346811:       sched:sched_switch: prev_comm=mainboard prev_pid=27999 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.34691,1,sched_waking,,,,27999,mainboard,29037,29037,,,wake_adjacent_to_direct_competitor_run_window,       mainboard 29037 [001] 518004.346910:       sched:sched_waking: comm=mainboard pid=27999 prio=120 target_cpu=001
518004.347081,1,sched_switch,29037,mainboard,S,0,swapper/1,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.347081:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
518004.34743,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.347430:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=001
518004.347438,1,sched_switch,0,swapper/1,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [001] 518004.347438:       sched:sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.347561,1,sched_switch,29037,mainboard,S,32974,cyber_recorder,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.347561:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=cyber_recorder next_pid=32974 next_prio=120
518004.347713,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.347713:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=001
518004.347718,1,sched_switch,0,swapper/1,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [001] 518004.347718:       sched:sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.348937,3,sched_waking,,,,135,kswapd0,29037,0,,,wake_of_anomaly_target_or_kswapd0,         swapper     0 [003] 518004.348937:       sched:sched_waking: comm=kswapd0 pid=135 prio=120 target_cpu=003
518004.348952,3,sched_switch,0,swapper/3,R,135,kswapd0,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [003] 518004.348952:       sched:sched_switch: prev_comm=swapper/3 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=135 next_prio=120
518004.34896,3,sched_switch,135,kswapd0,S,27999,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   135 [003] 518004.348960:       sched:sched_switch: prev_comm=kswapd0 prev_pid=135 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=27999 next_prio=120
518004.349014,1,sched_switch,29037,mainboard,S,0,swapper/1,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.349014:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
518004.349122,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.349122:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=001
518004.349125,0,sched_migrate_task,29037,mainboard,,,,29037,,1,3,migration_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.349125: sched:sched_migrate_task: comm=mainboard pid=29037 prio=120 orig_cpu=1 dest_cpu=3
518004.34913,3,sched_switch,0,swapper/3,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [003] 518004.349130:       sched:sched_switch: prev_comm=swapper/3 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.349283,3,sched_switch,29037,mainboard,S,0,swapper/3,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [003] 518004.349283:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/3 next_pid=0 next_prio=120
518004.349339,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.349339:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=003
