record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,measurement_time,status_json,pose_status_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548421809905,1783598548.42181,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.4215324,743,localization,0,0,0,1783598548.418883,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548521668656,1783598548.5216687,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.5211716,744,localization,0,0,0,1783598548.5185194,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548621957877,1783598548.6219578,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.6216342,745,localization,0,0,0,1783598548.6185224,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548722207257,1783598548.7222073,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.721893,746,localization,0,0,0,1783598548.7190125,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548821731732,1783598548.8217318,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.8213232,747,localization,0,0,0,1783598548.8188305,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548921663253,1783598548.9216633,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.9212458,748,localization,0,0,0,1783598548.918426,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598549021859992,1783598549.0218601,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598549.0214083,749,localization,0,0,0,1783598549.0184946,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598549121771576,1783598549.1217716,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598549.1215897,750,localization,0,0,0,1783598549.1187906,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598549221848955,1783598549.2218487,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598549.2215006,751,localization,0,0,0,1783598549.2185886,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598549322144480,1783598549.3221445,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598549.3216734,752,localization,0,0,0,1783598549.3186803,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598549422478085,1783598549.4224782,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598549.422169,753,localization,0,0,0,1783598549.4193313,,
