control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
11250,1783598420.8923316,1783598420.8920798,675,1783598420.8658857,1783598420.8665373,675,25.794267654418945,111,NORMAL,9,3
11251,1783598420.902306,1783598420.902077,675,1783598420.8658857,1783598420.8665373,675,35.768747329711914,111,NORMAL,9,4
11252,1783598420.9121256,1783598420.9118605,675,1783598420.8658857,1783598420.8665373,675,45.58825492858887,111,NORMAL,9,5
11253,1783598420.923393,1783598420.9231334,675,1783598420.8658857,1783598420.8665373,675,56.85567855834961,111,NORMAL,9,6
11254,1783598420.932581,1783598420.9323492,675,1783598420.8658857,1783598420.8665373,675,66.04361534118652,111,NORMAL,9,7
11255,1783598420.9422874,1783598420.9419868,675,1783598420.8658857,1783598420.8665373,675,75.75011253356934,111,NORMAL,9,8
11256,1783598420.9523501,1783598420.952074,675,1783598420.8658857,1783598420.8665373,675,85.81280708312988,111,NORMAL,9,9
11257,1783598420.9623692,1783598420.9621782,676,1783598420.95959,1783598420.9601972,676,2.1719932556152344,69,SPEED_FALLBACK,6,1
11258,1783598420.972178,1783598420.971983,676,1783598420.95959,1783598420.9601972,676,11.980772018432617,69,SPEED_FALLBACK,6,2
11259,1783598420.982242,1783598420.98208,676,1783598420.95959,1783598420.9601972,676,22.044897079467773,69,SPEED_FALLBACK,6,3
11260,1783598420.99215,1783598420.991875,676,1783598420.95959,1783598420.9601972,676,31.952857971191406,69,SPEED_FALLBACK,6,4
11261,1783598421.0030682,1783598421.0025938,676,1783598420.95959,1783598420.9601972,676,42.87099838256836,69,SPEED_FALLBACK,6,5
11262,1783598421.0104072,1783598421.0101292,676,1783598420.95959,1783598420.9601972,676,50.209999084472656,69,SPEED_FALLBACK,6,6
11263,1783598421.0223184,1783598421.0220811,677,1783598421.0132468,1783598421.0141075,677,8.210897445678711,69,SPEED_FALLBACK,11,1
11264,1783598421.0322216,1783598421.0319736,677,1783598421.0132468,1783598421.0141075,677,18.114089965820312,69,SPEED_FALLBACK,11,2
11265,1783598421.041995,1783598421.0417733,677,1783598421.0132468,1783598421.0141075,677,27.887582778930664,69,SPEED_FALLBACK,11,3
11266,1783598421.0520854,1783598421.0518413,677,1783598421.0132468,1783598421.0141075,677,37.97793388366699,69,SPEED_FALLBACK,11,4
